artist_name,track_name,genre,lyrics
Red Hot Chili Peppers,Can't Stop,rock,"Can't stop, addicted to the shindig Chop Top, he says I'm gonna win big Choose not a life of imitation Distant cousin to the reservation Defunkt, the pistol that you pay for This punk, the feelin' that you stay for In time I want to be your best friend East side love is living on the West End Knocked out, but, boy, you better come to (Oh, oh-oh) Don't die, you know, the truth as some do (Oh-oh) Go write your message on the pavement (Oh-oh) Burn so bright, I wonder what the wave meant White heat is screamin' in the jungle (Oh, oh-oh) Complete the motion if you stumble (Oh-oh) Go ask the dust for any answers (Oh-oh) Come back strong with fifty belly dancers The world I love, the tears I drop To be part of the wave, can't stop Ever wonder if it's all for you? The world I love, the trains I hop To be part of the wave, can't stop Come and tell me when it's time to"
Led Zeppelin,Immigrant Song,rock,"​ (Two, three, four) Ahh! Ahh! We come from the land of the ice and snow From the midnight sun where the hot springs flow The hammer of the gods Will drive our ships to new land To fight the horde, sing and cry Valhalla, I am coming On we sweep with threshing oar Our only goal will be the western shore Ahh! Ahh! We come from the land of the ice and snow From the midnight sun where the hot springs flow How soft your fields so green Can whisper tales of gore Of how we calmed the tides of war We are your overlords"
David Bowie,Heroes,rock,"I, I will be king And you, you will be queen Though nothing will drive them away We can beat them, just for one day We can be heroes, just for one day And you, you can be mean And I, I'll drink all the time 'Cause we're lovers, and that is a fact Yes, we're lovers, and that is that Though nothing will keep us together We could steal time, just for one day We can be heroes, forever and ever What d'you say? I, I wish you could swim Like the dolphins, like dolphins can swim Though nothing, nothing will keep us together We can beat them forever and ever Oh, we can be heroes, just for one day"
Matchbox Twenty,Push,rock,"She said, ""I don't know if I've ever been good enough I'm a little bit rusty And I think my head is cavin' in And I don't know if I've ever been really loved By a hand that's touched me And I feel like something's gonna give And I'm a little bit angry"" Well, this ain't over No, not here Not while I still need you around You don't owe me We might change, yeah Yeah, we just might feel good I wanna push you around Well, I will, well, I will I wanna push you down Well, I will, well, I will I wanna take you for granted Well, I wanna take you for granted Yeah, I will, I will"
Van Halen,Jump,rock,"Ow! I get up, and nothing gets me down You got it tough, I've seen the toughest around And I know, baby, just how you feel You got to roll with the punches to get to what's real Oh, can't you see me standing here? I got my back against the record machine I ain't the worst that you've seen Oh, can't you see what I mean? Ah, might as well jump (Jump!) Might as well jump Go ahead and jump (Jump!) Go ahead and jump Hello! Hey, you! Who said that? Baby, how you been? You say you don't know You won't know until you begin"
Blur,Song 2,rock,"Woo-hoo Woo-hoo Woo-hoo Woo-hoo I got my head checked By a jumbo jet It wasn't easy But nothing is, no (Woo-hoo) When I feel heavy metal (Woo-hoo) And I'm pins and I'm needles (Woo-hoo) Well, I lie and I'm easy All of the time, but I'm never sure why I need you Pleased to meet you I got my head done When I was young It's not my problem It's not my problem (Woo-hoo) When I feel heavy metal (Woo-hoo) And I'm pins and I'm needles (Woo-hoo) Well, I lie and I'm easy All of the time, but I'm never sure why I need you Pleased to meet you"
ZZ Top,La Grange,rock,"Rumor spreading round in that Texas town About that shack outside La Grange And you know what I'm talking about Just let me know if you wanna go To that home out on the range They gotta lotta nice girls Have mercy A-haw haw haw-haw Heh, a-haw haw-haw Well, I hear it's fine if you got the time And the ten to get yourself in A hmm, hmm And I hear it's tight most every night But now I might be mistaken Hmm, hmm, hmm Have mercy See ZZ Top LiveGet tickets as low as $55You might also like"
Eagles,Hotel California,rock,"On a dark desert highway Cool wind in my hair Warm smell of colitas Rising up through the air Up ahead in the distance I saw a shimmering light My head grew heavy and my sight grew dim I had to stop for the night There she stood in the doorway I heard the mission bell And I was thinkin' to myself ""This could be Heaven or this could be Hell"" Then she lit up a candle And she showed me the way There were voices down the corridor I thought I heard them say ""Welcome to the Hotel California Such a lovely place (Such a lovely place) Such a lovely face Plenty of room at the Hotel California Any time of year (Any time of year) You can find it here"""
The Doors,Riders on the Storm,rock,"Riders on the storm, riders on the storm Into this house we're born, into this world we're thrown Like a dog without a bone, an actor out on loan Riders on the storm There's a killer on the road, his brain is squirmin' like a toad Take a long holiday, let your children play If you give this man a ride, sweet family will die Killer on the road, yeah Girl, you gotta love your man, girl, you gotta love your man Take him by the hand, make him understand The world on you depends, our life will never end Gotta love your man, yeah"
Iron Maiden,Run to the Hills,rock,"White man came across the sea He brought us pain and misery He killed our tribes, he killed our creed He took our game for his own need We fought him hard, we fought him well Out on the plains we gave him hell But many came, too much for Cree Oh, will we ever be set free? Riding through dust clouds and barren wastes Galloping hard on the plains Chasing the redskins back to their holes Fighting them at their own game Murder for freedom, the stab in the back Women and children are cowards, attack Run to the hills, run for your lives Run to the hills, run for your lives Soldier blue in the barren wastes Hunting and killing's their game Raping the women and wasting the men The only good Indians are tame Selling them whiskey and taking their gold Enslaving the young and destroying the old See Iron Maiden LiveGet tickets as low as $33You might also like Run to the hills, run for your lives Run to the hills, run for your lives Run to the hills, run for your lives Run to the hills, run for your lives Run to the hills, run for your lives Run to the hills, run for your lives"
Ramones,Blitzkrieg Bop,rock,"Hey, ho, let's go Hey, ho, let's go Hey, ho, let's go Hey, ho, let's go They're formin' in a straight line They're goin' through a tight wind The kids are losin' their minds The Blitzkrieg Bop They're pilin' in the back seat They're generatin' steam heat Pulsatin' to the back beat The Blitzkrieg Bop Hey, ho, let's go Shoot 'em in the back now What they want, I don't know They're all revved up and ready to go They're formin' in a straight line They're goin' through a tight wind The kids are losin' their minds The Blitzkrieg Bop They're pilin' in the back seat They're generatin' steam heat Pulsatin' to the back beat The Blitzkrieg Bop"
Green Day,American Idiot,rock,"Don't wanna be an American idiot Don't want a nation under the new media And can you hear the sound of hysteria? The subliminal mindfuck America Welcome to a new kind of tension All across the alienation Where everything isn't meant to be okay Television dreams of tomorrow We're not the ones who're meant to follow For that's enough to argue Well, maybe I'm the faggot America I'm not a part of a redneck agenda Now everybody do the propaganda And sing along to the age of paranoia Welcome to a new kind of tension All across the alienation Where everything isn't meant to be okay Television dreams of tomorrow We're not the ones who're meant to follow For that's enough to argue See Green Day LiveGet tickets as low as $92You might also like Don't wanna be an American idiot One nation controlled by the media Information age of hysteria It's calling out to idiot America Welcome to a new kind of tension All across the alienation Where everything isn't meant to be okay Television dreams of tomorrow We're not the ones who're meant to follow For that's enough to argue"
The Darkness,I Believe in a Thing Called Love,rock,"Can't explain all the feelings that you're making me feel My heart's in overdrive and you're behind the steering wheel Touching you Touching me Touching you, God, you're touching me I believe in a thing called love Just listen to the rhythm of my heart There's a chance we could make it now We'll be rocking 'til the sun goes down I believe in a thing called love Oohooh Huh I wanna kiss you every minute, every hour, every day You got me in a spin but everythin' is a-okay (Ayyy ayyy) Touching you (Ayyy ayyy) Touching me (Ayyy ayyy) Touching you, God, you're touching me See The Darkness LiveGet tickets as low as $81You might also like I believe in a thing called love Just listen to the rhythm of my heart There's a chance we could make it now We'll be rocking 'til the sun goes down I believe in a thing called love Oohooh Guitar! (Ayyy ayyy) Touching you (you're touching me) (Ayyy ayyy) Touching me (I'm touching you) Touching you, God, you're touching me Ahhhhh! I believe in a thing called love Just listen to the rhythm of my heart There's a chance we could make it now We'll be rocking 'til the sun goes down I believe in a thing called love Oh oh ohoh ohhhh!"
AC/DC,Thunderstruck,rock,"Wa-ah, ah-ah-ah Wa-ah, ah-ah-ah Wa-ah, ah-ah-ah Wa-ah, ah-ah-ah Wa-ah, ah-ah-ah Wa-ah, ah-ah-ah Wa-ah, ah-ah-ah Thunder, wa-ah, ah-ah-ah Thunder, wa-ah, ah-ah-ah Thunder, wa-ah, ah-ah-ah Thunder, wa-ah, ah-ah-ah Thunder, wa-ah, ah-ah-ah Thunder, wa-ah, ah-ah-ah Thunder Thunder Thunder Thunder I was caught in the middle of a railroad track (Thunder) I looked 'round and I knew there was no turning back (Thunder) My mind raced and I thought, ""What could I do?"" (Thunder) And I knew there was no help, no help from you (Thunder) Sound of the drums beating in my heart The thunder of guns, yeah, tore me apart"
Faith No More,Epic,rock,"Can you feel it, see it, hear it today? If you can't, then it doesn't matter anyway You will never understand it, 'cause it happens too fast And it feels so good, it's like walking on glass It's so cool, it's so hip, it's alright It's so groovy, it's outta sight You can touch it, smell it, taste it, so sweet But it makes no difference 'cause it knocks you off your feet You want it all, but you can't have it (Yeah, yeah, yeah) It's cryin', bleedin', lyin' on the floor So you lay down on it and you do it some more You've got to share it, so you dare it Then you bare it and you tear it You want it all, but you can't have it (Yeah, yeah, yeah) It's in your face, but you can't grab it (Yeah, yeah, yeah) It's alive, afraid, a lie, a sin It's magic, it's tragic, it's a loss, it's a win It's dark, it's moist, it's a bitter pain It's sad it happened, and it's a shame"
Nirvana,Smells Like Teen Spirit,rock,"Load up on guns, bring your friends It's fun to lose and to pretend She's over-bored and self-assured Oh no, I know a dirty word Hello, hello, hello, how low Hello, hello, hello, how low Hello, hello, hello, how low Hello, hello, hello With the lights out, it's less dangerous Here we are now, entertain us I feel stupid and contagious Here we are now, entertain us A mulatto, an albino A mosquito, my libido, yeah Hey, yay I'm worse at what I do best And for this gift, I feel blessed Our little group has always been And always will until the end"
Linkin Park,Numb,rock,"I'm tired of being what you want me to be Feeling so faithless, lost under the surface I don't know what you're expecting of me Put under the pressure of walking in your shoes Caught in the undertow, just caught in the undertow Every step that I take is another mistake to you Caught in the undertow, just caught in the undertow I've become so numb, I can't feel you there Become so tired, so much more aware I'm becoming this, all I want to do Is be more like me and be less like you Can't you see that you're smothering me? Holding too tightly, afraid to lose control 'Cause everything that you thought I would be Has fallen apart, right in front of you Caught in the undertow, just caught in the undertow Every step that I take is another mistake to you Caught in the undertow, just caught in the undertow And every second I waste is more than I can take See Linkin Park LiveGet tickets as low as $78You might also like I've become so numb, I can't feel you there Become so tired, so much more aware I'm becoming this, all I want to do Is be more like me and be less like you And I know I may end up failing too But I know You were just like me with someone disappointed in you I've become so numb, I can't feel you there Become so tired, so much more aware I'm becoming this, all I want to do Is be more like me and be less like you I've become so numb, I can't feel you there I'm tired of being what you want me to be I've become so numb, I can't feel you there I'm tired of being what you want me to be"
Metallica,Enter Sandman,rock,"Say your prayers, little one, don't forget, my son To include everyone I tuck you in, warm within, keep you free from sin 'Til the Sandman, he comes Sleep with one eye open Gripping your pillow tight Exit light Enter night Take my hand We're off to never-never land Something's wrong, shut the light, heavy thoughts tonight And they aren't of Snow White Dreams of war, dreams of liars, dreams of dragons' fire And of things that will bite, yeah Sleep with one eye open Gripping your pillow tight See Metallica LiveGet tickets as low as $57You might also like Exit light Enter night Take my hand We're off to never-never land Yeah Now, I lay me down to sleep (Now, I lay me down to sleep) Pray the Lord my soul to keep (Pray the Lord my soul to keep) If I die before I wake (If I die before I wake) Pray the Lord my soul to take (Pray the Lord my soul to take) Hush little baby, don't say a word And never mind that noise you heard It's just the beasts under your bed In your closet, in your head Exit light Enter night Grain of sand Exit light Enter night Take my hand We're off to never-never land (Yeah, haha haha) Oh, yeah-yeah, yo-oh We're off to never-never land Take my hand We're off to never-never land Take my hand We're off to never-never land We're off to never-never land We're off to never-never land We're off to never-never land"
Red Hot Chili Peppers,Californication,rock,"Psychic spies from China try to steal your mind's elation And little girls from Sweden dream of silver-screen quotation And if you want these kind of dreams, it's Californication It's the edge of the world and all of Western civilization The sun may rise in the East, at least it settled in a final location It's understood that Hollywood sells Californication Pay your surgeon very well to break the spell of aging Celebrity skin: is this your chin or is that war you're waging? First born unicorn Hardcore soft porn Dream of Californication Dream of Californication Dream of Californication Dream of Californication Marry me, girl, be my fairy to the world, be my very own constellation A teenage bride with a baby inside getting high on information And buy me a star on the boulevard, it's Californication"
The Rolling Stones,(I Can't Get No) Satisfaction,rock,"I can't get no satisfaction I can't get no satisfaction 'Cause I try and I try and I try and I try I can't get no, I can't get no When I'm driving in my car And that man comes on the radio And he's telling me more and more About some useless information Supposed to fire my imagination I can't get no, oh no, no, no! Hey, hey, hey! That's what I'll say! I can't get no satisfaction I can't get no satisfaction 'Cause I try, and I try, and I try, and I try I can't get no, I can't get no When I'm watching my TV And a man comes on and tells me How white my shirts can be Well he can't be a man 'cause he doesn't smoke The same cigarettes as me I can't get no, oh no, no, no Hey, hey, hey, that's what I say"
Queen,Another One Bites The Dust,rock,"Ooh, let's go! Steve walks warily down the street With the brim pulled way down low Ain't no sound but the sound of his feet Machine guns ready to go Are you ready? Hey, are you ready for this? Are you hanging on the edge of your seat? Out of the doorway, the bullets rip To the sound of the beat, yeah Another one bites the dust Another one bites the dust And another one gone, and another one gone Another one bites the dust, yeah Hey, I'm gonna get you, too Another one bites the dust How do you think I'm gonna get along Without you, when you're gone? You took me for everything that I had And kicked me out on my own Are you happy, are you satisfied? How long can you stand the heat? Out of the doorway, the bullets rip To the sound of the beat Look out"
Prince,When Doves Cry,rock,"Yeah, yeah, yeah, yeah, yeah Yeah, yeah, yeah, yeah, yeah Yeah, yeah, yeah, yeah, yeah Dig, if you will, the picture Of you and I engaged in a kiss The sweat of your body covers me Can you, my darling, can you picture this? Dream, if you can, a courtyard An ocean of violets in bloom Animals strike curious poses They feel the heat, the heat between me and you How can you just leave me standing Alone in a world that's so cold? (So cold) Maybe I'm just too demanding Maybe I'm just like my father, too bold Maybe you're just like my mother She's never satisfied (She's never satisfied) Why do we scream at each other? This is what it sounds like When doves cry"
The Killers,Mr. Brightside,rock,"Comin' out of my cage and I've been doin' just fine Gotta, gotta be down because I want it all It started out with a kiss, how did it end up like this? It was only a kiss, it was only a kiss Now I'm falling asleep and she's calling a cab While he's having a smoke and she's taking a drag Now they're goin' to bed and my stomach is sick And it's all in my head, but she's touching his Chest now He takes off her dress now Let me go And I just can't look, it's killing me They're taking control Jealousy Turning saints into the sea Swimming through sick lullabies Choking on your alibi But it's just the price I pay Destiny is calling me Open up my eager eyes 'Cause I'm Mr. Brightside See The Killers LiveGet tickets as low as $57You might also like I'm comin' out of my cage and I've been doin' just fine Gotta, gotta be down because I want it all It started out with a kiss, how did it end up like this? (It was only a kiss) It was only a kiss Now I'm falling asleep and she's calling a cab While he's havin' a smoke and she's taking a drag Now they're goin' to bed and my stomach is sick And it's all in my head, but she's touching his Chest now He takes off her dress now Let me go 'Cause I just can't look, it's killing me They're taking control Jealousy Turning saints into the sea Swimming through sick lullabies Choking on your alibi But it's just the price I pay Destiny is calling me Open up my eager eyes 'Cause I'm Mr. Brightside I never I never I never I never"
