Elvie Shane,My Boy,country,"12 ContributorsMy Boy Lyrics[Verse 1] He ain't got my smile, that don't bother me a bit He's got somebody else's eyes I'm seeing myself in I'm holding on to every moment, God knows I've missed a few The day we met I knew?I?had?some catching up?to do  [Chorus] He ain't?my blood, ain't got my name But if he did, I'd feel the same I wasn't there for his first steps But I ain't missed a ball game yet And that ain't ever gonna change I could never walk away Yeah, he's my son and that's my choice He ain't my blood but he's my, he's my boy  [Verse 2] It hit me like a train, the first time he called me dad In a three stick figure crayon picture with all of us holding hands His mama said, ""I understand if it's too soon for this"" I didn't let her finish, I took it to the kitchen and I stuck it on the fridge, yeah  [Chorus] He ain't my blood, ain't got my name But if he did, I'd feel the same I wasn't there for his first steps But I ain't missed a ball game yet And that ain't ever gonna change I could never walk away Yeah, he's my son and that's my choice He ain't my blood but he's my, he's my boy You might also like[Bridge] He's Saturday morning cartoons He's ""Hey, can I sleep in your room?"" He's bigger than the plans I had He's making me a better man  [Chorus] He ain't my blood, ain't got my name But if he did, I'd feel the same I wasn't there for his first steps But I ain't missed a ball game yet And that ain't ever gonna change I could never walk away Yeah, he's my son and that's my choice He ain't my blood but he's my, he's my boy Yeah, he's my, he's my boy1Embed"
Chris Young,At the End of a Bar,country,"8 ContributorsAt the End of a Bar Lyrics[Verse 1: Chris Young] You can find your future Or run into your past You can look for answers At the bottom of a glass You can make a best friend And never know their name And buy 'em shots of tequila then forget why you came  [Chorus: Chris Young & Mitchell Tenpenny] There's a million things that you can find Bartender conversation or a pair of blue eyes, yeah Your true love or next broken heart Maybe a party crowd on a Friday night Long necks, long lines and neon signs, hell Sometimes that's where it all starts At the end of a bar  [Verse 2: Mitchell Tenpenny] You can hear a cover band Playin' 90's songs B?come a brand new man To time march?s on Time marches on  [Chorus: Chris Young & Mitchell Tenpenny] There's a million things that you can find Bartender conversation or a pair of blue eyes, yeah Your true love or next broken heart Maybe a party crowd on a Friday night Long necks, long lines and neon signs, hell Sometimes that's where it all starts At the end of a bar Oh, yeah, yeah Oh, ooh You might also like[Chorus 2: Chris Young & Mitchell Tenpenny] There's a million things that you can find Bartender conversation or a pair of blue eyes, yeah Your true love or a next broken heart (Or a next broken heart) Maybe a party crowd on a Friday night Long necks, long lines and neon signs, hell Sometimes that's where it all starts At the end of a bar (Oh, oh, yeah)  [Post-Chorus: Chris Young & Mitchell Tenpenny] (At the end of a, at the end of a, at the end of a bar) (At the end of a, at the end of a, at the end of a bar) Oh, you know that's right where you start  [Outro: Chris Young] You can find your future Or run into your past You can look for answers At the bottom of a glassEmbed"
Filmore,Who Cares,country,2 ContributorsPineapple Juice LyricsMan that Hennessey and pineapple juice Made that little bad bitch get loose And oh yeah It's a Fillmore drink Bitch whatcha think? I'm about sheer Khan and big bank  (2x)  Ya best holla back The playboy with the cognac You're right here So who cares where your man is at? If I was a singer I'd prolly be El DeBarge And just for you to hear my voice Bitch I gotsta charge (yeah) Mixed tape style All in your face now You're with me so you don't have to wait now I triple beam scale priced my thoughts I might buy something bitch And don't check the cost (yeah) In a plane flight Ten after midnight You gotta go to work bitch Then Goodnight Cuz there's playboys here That don't play around here And this is what we say around here See Andre Nickatina LiveGet tickets as low as $95You might also likeMan that Hennessey and pineapple juice Made that little bad bitch get loose And oh yeah It's a Fillmore drink Bitch whatcha think? I'm about sheer Khan and big bank (2x)  I'm a loaded gun I might bust if you try to run Cuz y'all run right back to the ism Prism I turn around in my Makeveli hat I'm something like a cat I do it for the scratch Ain't no games like The Price Is Right Bob Barker won't be seen tonight Unless he does like the rest of em By appointment you can undress the bum You gotta 24 Karat chain around your waist Don't get out of pocket Cuz it's not your place You make a dope fiend go from rock to base And when you come back home This is what you'll taste Man that Hennessey and pineapple juice Made that little bad bitch get loose And oh yeah It's a Fillmore drink Bitch whatcha think? I'm about sheer Khan and big bank  (2x)  Bitch by the way You like to walk like a runway And I bring out the Benz All day on Sunday Man it's something like gun play Glock Tawk And you try to walk your ass up a one way And my mouthpiece tell you all about me I like it when a broke bitch try to doubt me My manicured nails They like to touch mail My clientele like to rent out hotels No decoys here Just playboys And we ride around in cars that we call toys Supa bad dime Get a lemon lime Get my drink and don't stand in line Man that Hennessey and pineapple juice Made that little bad bitch get loose And oh yeah It's a Fillmore drink Bitch whatcha think? I'm about sheer Khan and big bank1Embed
Kacey Musgraves,justified,country,"27 Contributors?justified Lyrics[Verse 1] It was a fun, strange summer I rolled on, didn't think of you We lost touch with each other Fall came and I had to move  [Pre-Chorus] Movin' backwards, hurt comes after Healin' doesn't happen in a straight line  [Chorus] If I cry just a little and then laugh in the middle If I hate you and I love you, and then I change my mind If I need just a little more time to deal with the fact That you shoulda treated me right Then I'm more than just a little justified Mm, mm I'm more than just a little justified  [Verse 2] To touch somebody You know I tried to make that you And when you lied, said you didn't want me Tell me, what was I supposed to do?  [Pre-Chorus] Movin' onwards, feelin' strong, but Healin' doesn't happen in a straight line See Kacey Musgraves LiveGet tickets as low as $31You might also like[Chorus] If I cry just a little and then laugh in the middle If I hate you and I love you, and then I change my mind If I need just a little more time to deal with the fact That you shoulda treated me right Then I'm more than just a little justified Mm, mm I'm more than just a little justified  [Bridge] If I die just a little, inside just a little If I want you and I call you, then I change my mind If I need just a little more time to deal with the fact That I shoulda treated you right I'm more than just a little  [Chorus] If I cry just a little and then laugh in the middle And I hate you and I love you, and then I change my mind (A million times) If I need just a little more time to deal with the fact That you shoulda treated me right Then I'm more than just a little justified Mm, mm I'm more than just a little justified4Embed"
Ashley Cooke,Sunday Morning Kinda Saturday Night,country,"1 ContributorSunday Morning Kinda Saturday Night Lyrics[Verse 1] Well, everybody 'round here is heading downtown Drinking two-for-one cold beers in a party crowd And all my friends are calling me up right now But I ain't picking up 'Cause baby, since you left, I hit the deep end Staying out 'til closing time each weekend But that ain't healin' all the hurting that I'm in I gotta switch it up, so I'm getting in the truck  [Chorus] 'Cause I need to take in a tailgate sunset flare I gotta talk this out with the man upstairs 'Bout where I'm going in this crash course life, yeah I need a Sunday morning kinda Saturday night Let the FM hymns blow the bench seat speakers Let them fir?flies and the starlight be my pr?acher Shine a little deeper than the neon light I need a Sunday morning kinda Saturday night  [Verse 2] Out here with the crickets and the pine trees And figuring out my future ain't behind me And filling up my empty cup finally With some hundred proof of hallelujah You might also like[Chorus] 'Cause I need to take in a tailgate sunset flare I gotta talk this out with the man upstairs 'Bout where I'm going in this crash course life, yeah I need a Sunday morning kinda Saturday night Let the FM hymns blow the bench seat speakers Let them fireflies and the starlight be my preacher Shine a little deeper than the neon light I need a Sunday morning kinda Saturday night (Sunday morning) Sunday morning kinda Saturday night (Sunday morning)  [Bridge] Sometimes you ain't gotta find a pew You just go somewhere and let God find you, God find you  [Chorus] 'Cause I need to take in a tailgate sunset flare Talk this out with the man upstairs 'Bout where I'm going in this crash course life, yeah I need a Sunday morning kinda Saturday night Let the FM hymns blow the bench seat speakers Let them fireflies and the starlight be my preacher Shine a little deeper than the neon light I need a Sunday morning kinda Saturday night (Sunday morning) A Sunday morning, Sunday morning kinda Saturday night (Sunday morning)Embed"
Walker Hayes,Fancy Like,country,"49 ContributorsFancy Like Lyrics[Verse 1] Ayy My girl is bangin', she's so low maintenance Don't need no champagne-poppin' entertainment Take her to Wendy's, can't keep her off me She wanna dip me like them fries in her Frosty  [Pre-Chorus] But every now?and?then,?when I get?paid I gotta spoil?my baby with an upgrade (Yeah) Ayy, ayy, ayy  [Chorus] Yeah, we fancy like Applebee's on a date night Got some Bourbon Street steak with the Oreo shake Get some whipped cream on the top, too Two straws, one check, girl, I got you Bougie like Natty in the styrofoam Squeaky-squeakin' in the truck bed all the way home With some Alabama-jamma, she my Dixieland delight (Hey) That's how we do, how we do, fancy like  [Post-Chorus] Ooh Fancy like, ooh Fancy like, ooh Fancy like, ooh You might also like[Verse 2] Uh Don't need no Tesla to impress her (Don't need no Tesla to impress her) My girl is happy rollin' on a Vespa (There she go) Don't need no mansion to get romancin' (Ooh, woo) She's super fine, double wide, slow dancin' (Slow dancin')  [Pre-Chorus] But every now and then, when I get paid I gotta spoil my baby with an upgrade (Yeah) Ayy, ayy, ayy  [Chorus] Yeah, we fancy like Applebee's on a date night (That's right) Got some Bourbon Street steak with the Oreo shake (Ayy) Get some whipped cream on the top, too (Gotta add that whipped cream) Two straws, one check, girl, I got you (Girl, I got you) Bougie like Natty in the styrofoam (Styrofoam) Squeaky-squeakin' in the truck bed all the way home (All the way home) With some Alabama-jamma, she my Dixieland delight (Hey) That's how we do, how we do, fancy like  [Bridge] My new, clean blue jeans without the holes in 'em Country kisses on my lips without  the Skoal in 'em Yeah, she probably gon' be keepin' some Victoria's Secrets Maybe a little Maybelline but she don't need it In the kitchen light, radio slows down Boxed wine, then her up-do goes down [Chorus] Ayy Yeah, we fancy like Applebee's on a date night (That's right) Got some Bourbon Street steak with the Oreo shake (Ayy) Get some whipped cream on the top, too (Gotta add that whipped cream) Two straws, one check, girl, I got you Bougie like Natty in the styrofoam (Styrofoam) Squeaky-squeakin' in the truck bed all the way home (All the way home) With some Alabama-jamma, she my Dixieland delight (Hey) That's how we do, how we do, fancy like9Embed"
Thomas Rhett,Country Again,country,"9 ContributorsCountry Again Lyrics[Verse 1] I quit huntin' with my daddy, guess I didn't make the time And it's been a year since I've seen a deer, had a smallmouth on the line The other day, I hooked a monster, and as?I?reeled?him in I thought,?""Man, it feels?good to be country again""  [Verse 2] I spend way less time in Nashville, more time in L.A. My back home buddies, they quit callin', thought I had too much on my plate But last night, we cracked some cold beers and cranked Eric Church to ten Thought, ""Man, it feels good to be country again""  [Chorus] Yeah, I love me some California, but it sure ain't Tennessee And my roots down there in Georgia, yeah, they started missin' me And I wouldn't change the things I've done or the places that I've been Man, it feels good to be country again  [Verse 3] I traded in my Silverado, didn't need no four-by-four Tucked my boots in the back of the closet, they didn't feel like me no more But I dug 'em out and slipped 'em on, they've been on my feet since then Man, it feels good to be country again  [Bridge] Oh See Thomas Rhett LiveGet tickets as low as $30You might also like[Chorus] Yeah, I love me some California, but it sure ain't Tennessee And my roots down there in Georgia, yeah, they started missin' me And I wouldn't change the things I've done or the places that I've been Man, it feels good to be country again  [Verse 4] I traded sunsets with my wife for hours on my phone And even when I was right beside her, I still wasn't really home But last night, we built a fire, watched the moonlight kiss her skin Thought, ""Man, it feels good to be country again"" Man, it feels good to be country again  [Outro] I saw the light, I found the way home Thank you Lord, Amen Man, it feels good to be country againEmbed"
Lindsay Adamson,Get You Back,country,"1 ContributorRizzlers’ Beast Boi LyricsEmpezamos hoy con la bagancia  Si entiendes tu, te doy las gracias Hey hey yo soy LoFi How I’ve missed y’all  Here go my all time   HEy Rizzle! How you been fros Haven’t been on this app in a bit tho  But?the?fans,?they collab and?contract  So much hype?while I hide in the back with my big woes Matter fact, yall are tight and so right  That’s life, So fly so high, ima be strong Weak flow, reasons why ima destroy These droids, with the beats boy,   Beast boi . Like a bistro Coming back to this love, left me frozen Big names like GQ, Leave me molten  So I rap and design,  Hope got back Lil Hauk Hack Hawk HOGEN  What a cold case. Not imogen. Or EV, Ricky,  Cooper Collins, DC or Lauren! Kenji paul got me floorin’. Flobgorping, even Matt, and oneshot out here recording  Through our eyes, and Jasjyot Singh Nellee k  Out here out performing Ariana, Julia, VIKi, Lindsey B What about our twin a  and twin b  And instinct please And davius  reed With Divya A-B yuh  Now All that’s left is C U peace Now Susan will you pass the we- You might also likeRizzlers! Be free, you got your own song Music, physique, you call the shots, you on This busy street, while all the world is off Thank you, and please, enjoy part 3, cuz ima pop off  While go off  how I’m thankful  Bout the love y’all  How I miss iampal, and shashank bruh I.Rochelle, blak Da map,  a.prasad uh Erik L, maybe court, Erik E, and Tommy Can explain how I got here, it’s not all just all me Gotta thank b.nastyh, AniLi and Abhi Gotta praise Jassem khan  Got Raymond, got  zakvir!  Caitlin and Joshy be always on fleek So does bigjean, MIKE T. And Raj E Ki  Keep up  da list , got aashish,  and Sammie Got the coach Che, got Jcae, and harshy   Maybe got zionness, jay2 out hollerin Simberella, dr.purva, detaroheih Didn't get you all, im not ashamed But at least I got to tell ya thats adament Rizzlers! Complete, thanks all for the support Music, and weed, this lockdown got me bored Be back next week, or maybe just next fall Whoopsies, skeet skeet, this was my first rap song.   Bomb1Embed"
Morgan Wade,Wilder Days,country,"11 ContributorsWilder Days Lyrics[Verse 1] Hand in my hair and you said I looked pretty You're so devious, rode in From the Windy City I ain't gotta clear view Tell me what you want me to do and Tell me every single secret in your mind Come on, baby, we got nothing but time You say, I'm too young for you You're scared I'm too right for you  [Chorus] You said you hate the smell of cigarette smoke You only used to smoke when you drank When you lived in Chicago Unsure where the wind blows I wish I'd known you in your wilder days And now here we go You got me falling in love again You gotta secret, I wanna keep it I wish I'd known you in your wilder days  [Verse 2] The way you move your hands across my body Kissing you in a hotel lobby Baby  I don't wanna lose this feeling You're giving me something to believe in And who were you before I knew your name? Were you drunk at midnight waiting for the train? You could have been anyone back then Just another kid reaching for the wind See Morgan Wade LiveGet tickets as low as $13You might also like[Chorus] You said you hate the smell of cigarette smoke You only used to smoke when you drank When you lived in Chicago Unsure where the wind blows I wish I'd known you in your wilder days And now here we go You got me falling in love again You gotta secret, I wanna keep it I wish I'd known you in your wilder days  [Bridge] What were you like when you were a little wilder? Why don't you show me? Why don't you show me? What you were like when you got a little higher? Just for tonight, just for tonight  [Chorus] You said you hate the smell of cigarette smoke You only use to smoke when you drank When you lived in Chicago Unsure where the wind blows I wish I'd known you in your wilder days And now here we go You got me falling in love again You gotta secret, I wanna keep it I wish I'd known you in your wilder days I wish I'd known you in your wilder days I wish I'd known you in your wilder daysEmbed"
Riley Green,If It Wasn’t For Trucks,country,"10 ContributorsIf It Wasn’t For Trucks Lyrics[Verse 1] Why would any teenage boy cut grass? Sweat all summer, savin' cash Dream about turnin' heads downtown Straight pipes on a hand-me-down And how would anybody's daddy get around To mend the fences and feed the cows? Where the hell would a small town girl climb up If it wasn't for trucks?  [Chorus] And where would I have raised all that hell? And talked to God all by myself How would I have got to Tennessee Without a bucket seat? Where was I supposed to cry That July day Granddaddy died? Or haul that deer, drink that beer Fell in and out of love If it wasn't for trucks  [Verse 2] Where would I've first heard Merle? Got the nerve to kiss a green eyed girl? Where would old dogs ride? And where would life fly by? See Riley Green LiveGet tickets as low as $64You might also like[Chorus] And where would I have raised all that hell? And talked to God all by myself How would I have got to Tennessee Without a bucket seat? Where was I supposed to cry That July day Granddaddy died? Or haul that deer, drink that beer And fell in and out of love If it wasn't for trucks  [Post-Chorus] Yeah, if it wasn't for trucks  [Bridge] Well, I wouldn't be who I am today If it wasn't for a short bed Chevrolet  [Chorus] And where would I have raised all that hell? And talked to God all by myself How would I have got to Tennessee And where would I be? Where was I supposed to cry That July day Granddaddy died? Or haul that deer, drink that beer And fell in and out of love If it wasn't for trucks [Post-Chorus] Yeah, if it wasn't for trucks1Embed"
