artist_name,track_name,genre,lyrics
Jazzmeia Horn,Green Eyes,jazz,"I'm insecure But I can't help it My mind says move on My heart lags behind But I don't love you any more I'm so insecure Never knew that love did this Ooh, ooh, ooh Ooh, ooh, ooh I can't remember the last time I felt this way About somebody You've done something to my mindAnd I can't control it But I don't love you anymore Yes, I do, I think Loving you is wrong Ooh, ooh, ooh I'm so confused You tried to trick me Ooh, ooh, ooh Feeling insecure Love has got me sore I don't want no more Ooh, ooh, ooh"
Samara Joy,No More Blues,jazz,"4 ContributorsNo More Blues LyricsNo more blues, I'm going back home No, no more blues, I promise no more to roam Home is where the heart is The funny part is My heart's been right there all along  No more tears and no more sighs No more fears, I'll say no more goodbyes If travel beckons me, I swear I'm gonna refuse I'm gonna settle down and there'll be no more blues  Everyday when I am far away My thoughts turn homeward, forever homeward I have traveled 'round the world in search of happiness But all the happiness I've found was in my hometown  No more blues, I'm going back home No more dues, I'm through with all my wandering now I'll settle down and never roam and find a man and build a home When we settle down, there'll be no more blues Nothing but happiness when we settle down, there'll be no more blues Nothing but happiness when we settle down, there'll be no more blues  No more blues, I am going back home No more dues, I promise no more to roam Home is where the heart is The funny part is My heart's been right there all along You might also likeNo more tears and no more sighs No more fears, I'll say no more goodbyes If travel beckons me, I swear I'm gonna refuse I'm gonna settle down and there'll be no more blues  Everyday when I am far away My thoughts turn homeward, forever homeward I have traveled 'round the world in search of happiness But all the happiness I've found was in my hometown  No more blues, I'm going back home No more dues, I'm through with all my wandering now I'll settle down and never roam and find a man and build a home When we settle down, there'll be no more blues Nothing but happiness when we settle down, there'll be no more blues Nothing but happiness when we settle down, there'll be no more blues When we settle down, when we settle down Settle, settle down, when we settle down Settle, settle down, when we settle down There'll be no more blues, there'll be no more blues When we settle down, there'll be no more bluesEmbed"
Naama,I Wanna Be Loved,jazz,"1 ContributorIn the city Lyrics[Chorus 1] She call me the man (Man, Man) in the city, Ok. (Of the city) Slide in the Dm's like, how far is you going for a fifty? No games (for a fifty, In the city) You should just jump into the Uber (Riding through the city) full speed till you're with me, Ok. (Man, Man)  [Post-Chorus] She want a handout, yoh, (Handout) free rides on the night bus, keep your head down low. (Down Low) Speeding in the city till your breath gon go  [Verse 1] This girl baggage. Wanna see Bali Mans tryna stop at the Off license  Chicken and chips and fanta Chick make a dick go savage though  I was  in stratford centre, tryna drown life in lavish still  I ain't being bad , just bad ish Baby face swag It's malice  Niggas round here don't know about this Niggas round here they average  I ain't tryna crash they party Nakama full melodic You might also likeI ain't no dealer I'm doper Mans tryna swerve them hotline blings Gyal tryna fuck ferocious  [Chorus 2] She call me the man (Man, Man) in the city, Ok. (Of the city) Slide in the Dm's like, how far is you going for a fifty? No games (for a fifty, In the city) You should just jump into the Uber (Riding through the city) full speed till you're with me, Ok. (Man, Man)  [Post-Chorus] She want a handout, yoh, (Handout) free rides on the night bus, keep your head down low. (Down Low) Speeding in the city till your breath gon go  [Verse 2] I'm in love with the fame. Jealousy! Why's man always on low key thoughts when it's late. Fam! I don't wanna get involved with the low shelf hate. Enemies! I was on the road tryna get all my crumbs in a plate. Yoh!  Fuck it I wanna be loved by the hoes First step hoes next step who Don't slip up be careful He told his girl he a menace I told his girl I'm a handful  Cops finna come kill all us Fuck it's night we ghosting Too much power we young blood Nakama. oh lord [Chorus 2] She call me the man (Man, Man) in the city, Ok. (Of the city) Slide in the Dm's like, how far is you going for a fifty? No games (for a fifty, In the city) You should just jump into the Uber (Riding through the city) full speed till you're with me, Ok. (Man, Man)  [Post-Chorus] She want a handout, yoh, (Handout) free rides on the night bus, keep your head down low. (Down Low) Speeding in the city till your breath gon go  [Outro] She call me the man in the city, Ok Slide in the Dm's like, how far is you going for a fifty? No games You should just jump into the Uber full speed till you're with me  Label me the man in the City They don't wanna know my name, they just wanna see me fail, still I'm winningEmbed"
The Fabus Four,It's Easy To Blame The Weather,jazz,"[Verse 1] Honestly I'm glad it's snowing It helps to keep our friends from knowing When they ask me why I'm sad It's easy to blame the weather [Verse 2] It's funny how the blinding snowflakes Arrived in time to hide my heartaches Let them ask me why I'm sad It's easy to blame the weather [Bridge] When I think of the sun it scares me My one alibi will pass And springtime, I hear, is early this year They'll see through me like glass [Verse 3] I see no reason for this breakup So let me be the first to make up If a reason must be had It's easy to blame the weather"
Laura Anglade,I Don't Mind,jazz,"I don't mind, I'll take a chance Perhaps I'll find some sweet romance So stand a bit closer, 'cause I don't mind I don't mind the achin' pain Though love is blind and so insane So give me your hand dear, 'cause I don't mind! I thought perhaps I could cheat love Maybe break a few hearts and then run Now that I know I can't beat love I'll take the good with the bad The sweet with the sad I don't mind, the ice and snow The tears of brine that make love go So kiss me again dear 'Cause I don't mind Well, I thought perhaps I could cheat love Maybe break a few hearts and then run Now I know I can't beat love I'll take the good with the bad The sweet with the sad I don't mind, the ice and snow The tears of brine that make love go So kiss me again dear, 'cause I, I don't mind I don't mind I don't mind Mmm I don't mind I don't mind"
Jazzmeia Horn,Tight,jazz,"I don't now where my man is Where can he be? What is he doing? I've been asking questions all over town Hoping to be found out on the loose I don't dig it Take my advice girls If you find a man hold on tight Don't let him, don't let him, don't let him, don't let him Hold on to him tight Don't let him go What did you say? Hey, hey, hey I don't know where, I don't know where Don't know where my man is Where could he be? What is he doing? I've beens searching and looking all over town Where is he? I'm hoping he'll be found on the loose I don't dig it Take my advice girls If you got a man hold on tight Don't let him ever slip away from you Hold on to him tight Don't ever let him go Hold on to him tight Don't let him go Hold on to him tight"
Aubrey Logan,Airport Codes,jazz,"2 ContributorsAirport Codes Lyrics[Verse 1] Nobody told me it'd be easy Nobody told me everything would be just fine I don't know where or when I pulled these promises out of thin air Or if there's such a thing as fair I think about these things on airplanes I'm never lonely until cruising altitude I don't need anybody when I've got my feet flat on the ground Or when I've got a night in town  [Chorus] I gotta be at LAX, at JFK At CDG, LGA LHR, where are you? Flight delay at O'Hare I could be anywhere I don't care, where are you? I felt the same yesterday, 7,000 miles away Everybody thinks I've changed But what's strange is I'm okay At LAX, at JFK At CDG, LGA I'm on my way  [Verse 2] I used to dream that I was falling Now every nightmare is an infinite ascent Where am I gonna go When there's no map, no street, no road up here And it's too late to disappear? You might also like[Chorus] I gotta be at LAX, at JFK At CDG, LGA LHR, where are you? Flight delay at O'Hare I could be anywhere I don't care, where are you? I felt the same yesterday, 7,000 miles away Everybody thinks I've changed But what's strange is I'm okay At LAX, at JFK At CDG, LGA Where am I today? I'm still on my way to somewhere  [Bridge] Baby, I'm not afraid of crashing I'm not afraid of going down But I'm so scared of climbing higher I'm too familiar with the ground I used to be afraid of losing But now I'm frightened to succeed You got me crying on the airplane I ain't no victim, but I need you  [Chorus] To pick me up at LAX, at JFK At CDG, LGA LHR, where are you? Flight delay at O'Hare I could be anywhere I don't care, where are you? I felt the same yesterday, 7,000 miles away Everybody thinks I've changed But what's strange is I'm okay At LAX, at JFK At CDG, LGA [Outro] Nobody told me it'd be easyEmbed"
Melody Gardot,First Song,jazz,"1 ContributorFirst Song LyricsCharlie: 1, 2, 3, 4  Melody: When the stars were strung Was the first song that was sung Lightin' up a world Made for a boy and girl And love was new As morning dew The first song I knew Told of skies forever blue Clouds that disappear My darling dear  The first song I heard Was the warbling of a bird Sending around A soulful sound Deep as the sea Like you and me  And it's always a song And the changes that belong Melodies that bring The first song we sing See Melody Gardot LiveGet tickets as low as $114You might also likeThe first song we singEmbed"
Samara Joy,Autumn Nocturne,jazz,"5 ContributorsAutumn Nocturne LyricsWhen autumn sings her lullaby And green leaves turn to gold Then I remember in September You and I said goodbye Whispering that we would be returning When autumn came again  Now autumn roams the hills once more But you forgot your vow And here am I alone with only memories Only lonely memories Autumn memories of you  Love, when the leaves are turning I get a hungry yearning for your arms My love, when a heart is so bluе It shadows bright October′s golden charm  The еvening breeze reminds me of The night of love that we once knew Each tiny star is but a prayer That when it's fall again Love will call again And you′ll be beside me To make my autumn dreams come true Come true Come trueYou might also likeEmbed"
Ashley Henry,Love Is Like A Movie,jazz,"Your love�s is like a theme from a favourite movie It soothes me, it moves me It makes me feel groovy Inside and I am so aware Of the time we share Your love, your care Whenever you are near I don�t feel fear, I shed a tear Your spirit makes me fly so high And I, oh I I know you�re the meaning the reason for every season Close in my heart is where you reside Oooo Oooo Kiss me deep and kiss me slow Ooo right there, baby go to Places with me lets explore Open your heart its a secret door Whenever, wherever, however I�m always okay When you are by my side So never be clever, oh baby just be mine Your are like a song in my soul That makes me feel home Paving the way for a new love every day Take me with strength And make me all yours Just keep that smile forever more Oooo Oooo Your love is like a movie, It soothes me, it moves me It makes me feel groovy inside And I am so aware of the life we share Your love, your care Your love is like a movie Soothes me, moves me Makes me feel groove inside (Inside) And I (And I) I love you"
