artist_name,track_name,genre,lyrics
Michael Jackson,Billie Jean,pop,"[Verse 1] She was more like a beauty queen from a movie scene I said, 'Don't mind, but what do you mean, I am the one Who will dance on the floor in the round?' She said I am the one Who will dance on the floor in the round She told me her name was Billie Jean as she caused a scene Then every head turned with eyes that dreamed of bein' the one Who will dance on the floor in the round [Pre-Chorus] People always told me, 'Be careful of what you do Don't go around breakin' young girls' hearts' (Hee-hee) And mother always told me, 'Be careful of who you love And be careful of what you do (Oh-oh) 'Cause the lie becomes the truth' (Oh-oh), hey-ey [Chorus] Billie Jean is not my lover, uh She's just a girl who claims that I am the one (Oh, baby) But the kid is not my son (Hoo) She says I am the one (Oh, baby) But the kid is not my son (Hee-hee-hee, no-no, hee-hee-hee, hoo) [Verse 2] For forty days and for forty nights, the law was on her side But who can stand when she's in demand? Her schemes and plans 'Cause we danced on the floor in the round (Hee) So take my strong advice Just remember to always think twice (Don't think twice) Do think twice! (A-hoo!) She told my baby we'd danced 'til three, then she looked at me Then showed a photo of a baby cryin', his eyes were like mine (Oh, no) 'Cause we danced on the floor in the round, baby (Ooh, hee-hee-hee) [Pre-Chorus] People always told me, 'Be careful of what you do And don't go around breakin' young girls' hearts' (Don't break no hearts; hee-hee) But she came and stood right by me Just the smell of sweet perfume (Ha-oh) This happened much too soon (Ha-oh, ha-ooh) She called me to her room (Ha-oh, hoo), hey-ey [Chorus] Billie Jean is not my lover (Hoo) She's just a girl who claims that I am the one But the kid is not my son No-no-no, no-no-no-no-no-no (Hoo) Billie Jean is not my lover, uh She's just a girl who claims that I am the one (Oh, baby) But the kid is not my son (Oh, no, no) She says I am the one (Oh, baby) But the kid is not my son (No, hee-hee-hee, ah, hee-hee-hee) [Break] Hee, hoo [Chorus] She says I am the one, uh But the kid is not my son (No-no-no, hoo, ohh) Billie Jean is not my lover, uh She's just a girl who claims that I am the one (You know what you did to me, baby) But the kid is not my son No-no-no (No-no-no, ah), no-no-no-no (No-no-no) She says I am the one (No) But the kid is not my son (No-no-no-no) [Outro] She says I am the one (You know what you did) She says he is my son (Breakin' my heart, babe) She says I am the one Yeah, yeah, Billie Jean is not my lover, uh Yeah, Billie Jean is not my lover, uh Yeah, Billie Jean is not my lover, uh (She is just a girl) Yeah, Billie Jean is not my lover, uh (She is just a girl; don't call me Billie Jean, hoo) Billie Jean is not my lover, uh (She is just a girl; she's not at the scene) Billie Jean is not (Hee), aaow, ooh Yeah, Billie Jean is"
Madonna,Like a Prayer,pop,"76 ContributorsTranslationsPortuguêsItalianoEspañolLike a Prayer Lyrics[Intro] Life is a mystery Everyone must stand alone I hear you call my name And it feels like home  [Chorus] When you call my name It's like a little prayer I'm down on my knees I want to take you there In the midnight hour I can feel your power Just like a prayer You know I'll take you there  [Verse 1] I hear your voice It's like an angel sighing I have no choice I hear your voice Feels like flying I close my eyes Oh God, I think I'm falling Out of the sky I close my eyes Heaven, help me You might also like[Chorus] When you call my name It's like a little prayer I'm down on my knees I want to take you there In the midnight hour I can feel your power Just like a prayer You know I'll take you there  [Verse 2] Like a child You whisper softly to me You're in control Just like a child Now I'm dancing It's like a dream No end and no beginning You're here with me It's like a dream Let the choir sing  [Chorus] When you call my name It's like a little prayer I'm down on my knees I wanna take you there In the midnight hour I can feel your power Just like a prayer You know I'll take you there When you call my name It's like a little prayer I'm down on my knees I wanna take you there In the midnight hour I can feel your power Just like a prayer You know I'll take you there [Reprise] Life is a mystery Everyone must stand alone I hear you call my name And it feels like home  [Chorus] Just like a prayer Your voice can take me there Just like a muse to me You are a mystery Just like a dream You are not what you seem Just like a prayer, no choice Your voice can take me there  [Bridge] Just like a prayer, I'll take you there It's like a dream to me (Mmmm...) Just like a prayer, I'll take you there (I'll take you there) It's like a dream to me (Oh, oh-oh-oh yeah) Just like a prayer, I'll take you there (I'll take you there) It's like a dream to me (Oh yeah, yeah, yeah yeah yeah yeah) Just like a prayer, I'll take you there (Oh, yeah) It's like a dream to me (Oh, oh) [Chorus] Just like a prayer Your voice can take me there Just like a muse to me You are a mystery Just like a dream You are not what you seem Just like a prayer, no choice Your voice can take me there Just like a prayer Your voice can take me there Just like a muse to me You are a mystery Just like a dream You are not what you seem Just like a prayer, no choice Your voice can take me there Your voice can take me there Like a prayer  [Outro] It's like a prayer, your voice can take me there It's like a prayer It's like a prayer, your voice can take me there It's like a prayer It's like a prayer, your voice can take me there It's like a prayer It's like a prayer, your voice can take me there It's like a prayer34Embed"
Whitney Houston,I Wanna Dance with Somebody (Who Loves Me),pop,"50 ContributorsTranslationsEspañolI Wanna Dance With Somebody (Who Loves Me) Lyrics[Intro] Ah Yeah, woo Hey, yeah, ah Ooh, yeah, uh-huh Yeah I wanna dance  [Verse 1] Clock strikes upon the hour And the sun begins to fade Still enough time to figure out How to chase my blues away  [Pre-Chorus] I've done alright up 'til now It's the light of day that shows me how And when the night falls The loneliness calls  [Chorus] Oh, I wanna dance with somebody I wanna feel the heat with somebody Yeah, I wanna dance with somebody With somebody who loves me Oh, I wanna dance with somebody I wanna feel the heat with somebody Yeah, I wanna dance with somebody With somebody who loves me You might also like[Verse 2] I've been in love and lost to my senses Spinnin' through the town Sooner or later, the fever ends And I wind up feelin' down  [Pre-Chorus] I need a man who'll take a chance On a love that burns hot enough to last So when the night falls My lonely heart calls  [Chorus] Oh, I wanna dance with somebody I wanna feel the heat with somebody Yeah, I wanna dance with somebody With somebody who loves me Oh, I wanna dance with somebody I wanna feel the heat Yeah, I wanna dance with somebody With somebody who loves me  [Bridge] Somebody who, somebody who Somebody who loves me, yeah Somebody who, somebody who To hold me in his arms, oh [Pre-Chorus] I need a man who'll take a chance On a love that burns hot enough to last So when the night falls My lonely heart calls  [Chorus] Oh, I wanna dance with somebody I wanna feel the heat with somebody Yeah, I wanna dance with somebody With somebody who loves me Oh, I wanna dance with somebody I wanna feel the heat with somebody Yeah, I wanna dance with somebody With somebody who loves me  [Outro] Ooh, ooh (Dance) Come on, baby (Dance) Woo, yeah (Dance) Now get with this, woah (Dance) Don't you wanna dance (Dance) with me, baby? Don't you wanna dance (Dance) with me, boy? Hey, don't you wanna dance (Dance) with me, baby? With somebody who loves me Don't you wanna dance? Say you wanna dance Don't you wanna dance? (Dance) Don't you wanna dance? Say you wanna dance Don't you wanna dance? (Dance) Don't you wanna dance? Say you wanna dance Uh-huh (Dance) With somebody who loves me Ooh, ooh (Dance) Ooh, ooh (Dance) Ooh, ooh (Dance) Hey, baby Don't you wanna love, don't you wanna love me?22Embed"
Sia,Chandelier,pop,"185 ContributorsTranslationsEspañolPortuguêsItalianoΕλληνικάFrançaisDeutschChandelier Lyrics[Verse 1] Party girls don't get hurt Can't feel anythin', when will I learn? I push it down, I push it down I'm the one for a good time call Phone's blowin' up, ringin' my doorbell I feel the love, I feel the love  [Pre-Chorus] One, two, three, one, two, three, drink One, two, three, one, two, three, drink One, two, three, one, two, three, drink Throw 'em back 'til I lose count [Chorus] I'm gonna swing from the chandelier From the chandelier I'm gonna live like tomorrow doesn't exist Like it doesn't exist I'm gonna fly like a bird through the night Feel my tears as they dry I'm gonna swing from the chandelier From the chandelier  [Post-Chorus] But I'm holdin' on for dear life Won't look down, won't open my eyes Keep my glass full until mornin' light 'Cause I'm just holdin' on for tonight Help me, I'm holdin' on for dear life Won't look down, won't open my eyes Keep my glass full until mornin' light 'Cause I'm just holdin' on for tonight, on for tonight You might also like[Verse 2] Sun is up, I'm a mess Gotta get out now, gotta run from this Here comes the shame, here comes the shame (Ah)  [Pre-Chorus] One, two, three, one, two, three, drink One, two, three, one, two, three, drink One, two, three, one, two, three, drink Throw 'em back 'til I lose count  [Chorus] I'm gonna swing from the chandelier From the chandelier I'm gonna live like tomorrow doesn't exist Like it doesn't exist I'm gonna fly like a bird through the night Feel my tears as they dry I'm gonna swing from the chandelier From the chandelier  [Post-Chorus] But I'm holdin' on for dear life Won't look down, won't open my eyes Keep my glass full until mornin' light 'Cause I'm just holdin' on for tonight Help me, I'm holdin' on for dear life Won't look down, won't open my eyes Keep my glass full until mornin' light 'Cause I'm just holdin' on for tonight, on for tonight [Outro] On for tonight 'Cause I'm just holdin' on for tonight Oh, I'm just holdin' on for tonight On for tonight, on for tonight 'Cause I'm just holdin' on for tonight 'Cause I'm just holdin' on for tonight Oh, I'm just holdin' on for tonight On for tonight, on for tonight449Embed"
Beyoncé,Single Ladies (Put a Ring on It),pop,"80 ContributorsTranslationsPortuguêsSingle Ladies (Put a Ring on It) Lyrics[Produced by Beyoncé, The-Dream & Tricky Stewart]  [Intro] All the single ladies (All the single ladies) All the single ladies (All the single ladies) All the single ladies (All the single ladies) All the single ladies Now put your hands up  [Verse 1] Up in the club (Club), we just broke up (Up) I'm doin' my own lil' thing You decided to dip (Dip) and now you wanna trip (Trip) 'Cause another brother noticed me I'm up on him (Him), he up on me (Me) Don't pay him any attention 'Cause I cried my tears (Tears), gave ya three good years (Years) You can't be mad at me  [Chorus] 'Cause if you like it, then you should've put a ring on it If you like it, then you should've put a ring on it Don't be mad once you see that he want it 'Cause if you like it, then you should've put a ring on it Woah-oh-oh, oh-oh-oh, oh-oh-oh, oh-oh-oh Woah-oh-oh, oh-oh-oh, oh-oh-oh, oh-oh-oh 'Cause if you like it, then you should've put a ring on it If you like it, then you should've put a ring on it Don't be mad once you see that he want it If you like it, then you should've put a ring on it You might also like[Verse 2] I got gloss on my lips (Lips), a man on my hips (Hips) On me tighter than my Deréon jeans Actin' up (Up), drink in my cup (Cup) I can care less what you think I need no permission, did I mention? Don't pay him any attention 'Cause you had your turn (Turn) and now you gon' learn What it really feels like to miss Bey  [Chorus] 'Cause if you like it, then you should've put a ring on it If you like it, then you should've put a ring on it Don't be mad once you see that he want it 'Cause if you like it, then you should've put a ring on it Woah-oh-oh, oh-oh-oh, oh-oh-oh, oh-oh-oh Woah-oh-oh, oh-oh-oh, oh-oh-oh, oh-oh-oh 'Cause if you like it, then you should've put a ring on it If you like it, then you should've put a ring on it Don't be mad once you see that he want it If you like it, then you should've put a ring on it Woah-oh-oh, oh-oh-oh, oh-oh-oh, oh-oh-oh Woah-oh-oh, oh-oh-oh, oh-oh-oh, oh-oh-oh [Bridge] Don't treat me to these things of the world I'm not that kind of girl Your love is what I prefer, what I deserve Here's a man that makes me then takes me (Ah) And delivers me to a destiny To infinity (Infinity) and beyond (And beyond) Pull me (Pull me in) into your arms (To your arms) Say I'm the one you want (Ah, I'm the one you want) If you don't, you'll be alone And like a ghost, I'll be gone [Refrain] All the single ladies (All the single ladies) All the single ladies (All the single ladies) All the single ladies (All the single ladies) All the single ladies Now put your hands up Woah-oh-oh, oh-oh-oh, oh-oh-oh, oh-oh-oh Woah-oh-oh, oh-oh-oh, oh-oh-oh, oh-oh-oh Woah-oh-oh  [Chorus] 'Cause if you like it, then you should've put a ring on it If you like it, then you should've put a ring on it Don't be mad once you see that he want it If you like it, then you should've put a ring on it Woah-oh-oh 'Cause if you like it, then you should've put a ring on it If you like it, then you should've put a ring on it Don't be mad once you see that he want it If you like it, then you should've put a ring on it Woah-oh-oh27Embed"
TOTO,Africa,pop,"186 ContributorsTranslationsItalianoDeutschAfrica Lyrics[Instrumental Intro]  [Verse 1: David Paich] I hear the drums echoing tonight But she hears only whispers of some quiet conversation She's comin' in, 12:30 flight The moonlit wings reflect the stars that guide me towards salvation I stopped an old man along the way Hopin' to find some old forgotten words or ancient melodies He turned to me as if to say ""Hurry, boy, it's waiting there for you""  [Chorus: Bobby Kimball] It's gonna take a lot to drag me away from you There's nothin' that a hundred men or more could ever do I bless the rains down in Africa Gonna take some time to do the things we never had Ooh-hoo  [Verse 2: David Paich] The wild dogs cry out in the night As they grow restless, longing for some solitary company I know that I must do what's right As sure as Kilimanjaro rises like Olympus above the Serengeti I seek to cure what's deep inside Frightened of this thing that I've become See Toto LiveGet tickets as low as $49You might also like[Chorus: Bobby Kimball] It's gonna take a lot to drag me away from you There's nothin' that a hundred men or more could ever do I bless the rains down in Africa Gonna take some time to do the things we never had Ooh-hoo  [Instrumental Break]  [Bridge: David Paich & Bobby Kimball] ""Hurry, boy, she's waiting there for you""  [Chorus: Bobby Kimball] It's gonna take a lot to drag me away from you There's nothin' that a hundred men or more could ever do I bless the rains down in Africa I bless the rains down in Africa (I bless the rains) I bless the rains down in Africa (I bless the rains) I bless the rains down in Africa I bless the rains down in Africa (I'm gonna take the time) Gonna take some time to do the things we never had Ooh-hoo  [Instrumental Outro]106Embed"
Men At Work,Down Under,pop,"109 ContributorsDown Under Lyrics[Verse 1] Traveling in a fried-out Kombi On a hippie trail, head full of zombie I met a strange lady, she made me nervous She took me in and gave me breakfast And she said  [Chorus] ""Do you come from a land down under? Where women glow and men plunder Can't you hear, can't you hear the thunder? You better run, you better take cover""  [Verse 2] Buyin' bread from a man in Brussels He was six-foot-four and full of muscle I said, ""Do you speak-a my language?"" He just smiled and gave me a Vegemite sandwich And he said [Chorus] ""I come from a land down under Where beer does flow and men chunder Can't you hear, can't you hear the thunder? You better run, you better take cover"", yeah You might also like[Instrumental Break]  [Verse 3] Lyin' in a den in Bombay With a slack jaw, and not much to say I said to the man, ""Are you trying to tempt me? Because I come from the land of plenty"" And he said  [Chorus] ""Oh, do you come from a land down under?"" Oh yeah, yeah ""Where women glow and men plunder Can't you hear, can't you hear the thunder? Oh You better run, you better take cover"" 'Cause we are living in a land down under Where women glow and men plunder (Yeah, thunder, thunder) Can't you hear, can't you hear the thunder? You better, better run, you better take cover Living in a land down under Where women glow and men plunder Can't you hear, can't you hear the thunder? Oh, yeah You better run, you better take cover We are living in a land down under, yeah, yeah Where women glow and men plunder (Can you, can you hear the thunder?) Can't you hear, can't you hear the thunder? You better run, you better take cover Living in a land down under (Living in a land down under) Where women glow and men plunder (Oh, hear) Can't you hear, can't you hear the thunder?37Embed"
Tears For Fears,Everybody Wants To Rule The World,pop,"146 ContributorsTranslationsPolskiFrançaisDeutschУкраїнськаEverybody Wants to Rule the World Lyrics[Verse 1] Welcome to your life There's no turning back Even while we sleep We will find you  [Chorus] Acting on your best behaviour Turn your back on Mother Nature Everybody wants to rule the world  [Verse 2] It's my own design It's my own remorse Help me to decide Help me make the  [Chorus] Most of freedom and of pleasure Nothing ever lasts forever Everybody wants to rule the world [Bridge] There's a room where the light won't find you Holding hands while the walls come tumbling down When they do, I'll be right behind you You might also like[Chorus] So glad we've almost made it So sad they had to fade it Everybody wants to rule the...  [Instrumental Break]  [Chorus] I can't stand this indecision Married with a lack of vision Everybody wants to rule the— Say that you'll never, never, never, never need it One headline, why believe it? Everybody wants to rule the world  [Chorus] All for freedom and for pleasure Nothing ever lasts forever Everybody wants to rule the world78Embed"
Cyndi Lauper,Time After Time,pop,"81 ContributorsTranslationsEspañolDeutschTime After Time Lyrics[Verse 1] Lyin' in my bed, I hear the clock tick and think of you Caught up in circles, confusion is nothing new Flashback, warm nights almost left behind Suitcase of memories Time after  [Verse 2] Sometimes you picture me, I'm walkin' too far ahead You're callin' to me, I can't hear what you've said Then you say, ""Go slow"", I fall behind The second hand unwinds  [Chorus] If you're lost, you can look and you will find me Time after time If you fall, I will catch you, I'll be waiting Time after time If you're lost, you can look and you will find me Time after time If you fall, I will catch you, (I'll be waiting) I will be waiting Time after time  [Verse 3] After my picture fades and darkness has turned to gray Watchin' through windows, you're wondering if I'm okay Secrets stolen from deep inside The drum beats out of time See Cyndi Lauper LiveGet tickets as low as $27You might also like[Chorus] If you're lost, you can look and you will find me Time after time If you fall, I will catch you, I'll be waiting Time after time  [Instrumental Break]  [Bridge] You say, ""Go slow,"" I fall behind The second hand unwinds  [Chorus] If you're lost, you can look and you will find me Time after time If you fall, I will catch you, I'll be waiting Time after time If you're lost, you can look and you will find me Time after time If you fall, I will catch you, (I'll be waiting) I will be waiting Time after time  [Outro] Time after time Time after time Time after time Time after time Time after time Time after time Time after Time22Embed"
Pat Benatar,Hit Me With Your Best Shot,pop,"26 ContributorsHit Me with Your Best Shot Lyrics[Intro]  [Verse 1] Well you're the real tough cookie with a long history Of breaking little hearts like the one in me That's okay, let's see how you do it Put up your dukes, let's get down to it  [Chorus] Hit me with your best shot Why don't you hit me with your best shot Hit me with your best shot Fire away  [Verse 2] You come on with it, come on, you don't fight fair That's okay, see if I care Knock me down, it's all in vain I get right back on my feet again  [Chorus] Hit me with your best shot Why don't you hit me with your best shot Hit me with your best shot Fire away You might also like[Instrumental]  [Verse 3] Well you're the real tough cookie with a long history Of breaking little hearts like the one in me Before I put another notch in my lipstick case You better make sure you put me in my place  [Chorus] Hit me with your best shot C'mon, hit me with your best shot Hit me with your best shot Fire away  [Chorus] Hit me with your best shot Why don't you hit me with your best shot Hit me with your best shot Fire away8Embed"
